Name,Neighborhood,Square Meters,Number of Rooms,Listing Type,Price,Date of Listing,Days Listed
Terrain à vendre corniche almadies,Almadies,"10,000 m²",N/A,N/A,20000000000 F Cfa,"16. févr., 07:21",0
Terrain à vendre à fenêtre mermoz,Fenêtre mermoz,"15,000 m²",N/A,N/A,19500000000 F Cfa,"11. déc. '23, 14:59",0
Terrain à vendre,Plateau,"13,000 m²",N/A,N/A,10000000000 F Cfa,"17. janv., 01:48",0
Très belle maison à vendre sur la corniche,Almadies,"4,500 m²",5 chambre,N/A,8000000000 F Cfa,2024-03-26,0
Immeuble R+8 à vendre Dakar Plateau,Plateau,N/A,N/A,N/A,8000000000 F Cfa,"15. mars, 15:58",0
Terrain à vendre à dakar plateau avec vue sur mer,Plateau,"2,000 m²",N/A,N/A,5000000000 F Cfa,"11. déc. '23, 14:54",0
Terrain à vendre dakar haut plateau titre foncier,Plateau,"1,800 m²",N/A,N/A,4500000000 F Cfa,"11. déc. '23, 14:57",0
Terrain de 9300 m2 tf à vendre pieds dans l'eau,Virage,"9,300 m²",N/A,N/A,3600000000 F Cfa,2024-03-26,0
Opportunités Villas ou Terrains à Fann résidence,Fann,"2,397 m²",N/A,N/A,3595500000 F Cfa,"22. févr., 11:35",0
Immeuble à vendre à Keur Gorgui!,Cité keur gorgui,550 m²,35 chambre,N/A,3400000000 F Cfa,2024-03-30,0
